time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
15	50	100	4	50	128	0.2	0.7722709676177806	0.7694977816314322	0.7655510791469284	0.840464188383328	0.7103908154275776
17	50	100	4	50	128	0.2	0.7715925288379495	0.7633248328124098	0.754648283787957	0.8382526080018219	0.7089116125694276
8	50	100	4	50	128	0.2	0.674103999333582	0.7005434904967619	0.6849241393665715	0.743296764510334	0.6975747614338399
15	50	100	4	50	128	0.2	0.791097670027962	0.7760911133852458	0.7815638622029631	0.8624665290156057	0.7079983939211936
time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
batch norm from here on 
time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
20	50	100	4	50	128	0.2	0.8136884127585403	0.7946333442461989	0.800919389906829	0.8665004326775226	0.7108547995678195
30	50	100	4	50	128	0.2	0.8814257094417108	0.831837055050061	0.8325308293555914	0.9147653873656135	0.7407455785369447
17	50	100	4	50	128	0.2	0.8411952190483802	0.8219224692153957	0.8236115652676647	0.9105595837099363	0.7482179120857091
26	50	100	4	50	128	0.2	0.8662267743560702	0.8321027983479417	0.8300951738888342	0.9135890758075036	0.7521012676554725
27	50	100	4	50	128	0.2	0.8800954910121792	0.8409120041255691	0.8393959578857928	0.9209275889565077	0.7540225275608071
23	50	100	4	50	128	0.2	0.893351915029671	0.8336312145046738	0.8369581346441909	0.9227945180223465	0.7551173484483357
28	50	100	4	50	128	0.2	0.8884197343368403	0.8128465738824169	0.8170236501840706	0.904739810239157	0.7369116700196526
13	50	100	4	50	128	0.2	0.8865544298017122	0.8334135043967185	0.8305777932036204	0.9114632595793906	0.7584273059984105
10	50	100	4	50	128	0.2	0.8806565673903579	0.8321107184021099	0.8301140205903921	0.9154450048526409	0.7392191382783507
time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
10	50	100	4	50	128	0	0.837200162438068	0.8092658608934751	0.8082072548860406	0.8835429164873067	0.7300632749511904
22	50	100	4	50	128	0	0.8871218076907568	0.8114123939498016	0.8139531208099811	0.8990212206865318	0.7286266574671106
20	50	100	4	50	128	0	0.8671521564952311	0.8220342679186694	0.8287368212564477	0.9086229318033794	0.7449609417004216
15	50	100	4	50	128	0	0.8647709103662512	0.8356519090351773	0.8386455930696937	0.9180740418443349	0.7504537499238307
17	50	100	4	50	128	0	0.8749216024066762	0.8367384407986287	0.8350634884313566	0.9117432388009064	0.7540864638723284
23	50	100	4	50	128	0	0.8913221607949369	0.8150515687325736	0.8111346246526477	0.8897225723825006	0.7299465323176534
23	50	100	4	50	128	0	0.8883168406463373	0.8388402404856249	0.828719753553269	0.9095488666242392	0.7443309703802107
22	50	100	4	50	128	0	0.9033536574070942	0.8310798668579719	0.8358416254414599	0.9178625666444942	0.7467457575291708
15	50	100	4	50	128	0	0.875703823968185	0.8418918158407479	0.8474347734808896	0.9255018919770341	0.7579487746676381
time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
8	50	100	4	50	128	0	0.853404666977798	0.8168716250885049	0.8145413879151354	0.8912513819244688	0.7416314430329526
9	50	100	4	50	128	0	0.8698319587548611	0.8205382294382109	0.8208717732799751	0.9086613367510419	0.7493308927676067
10	50	100	4	50	128	0	0.8702078734984472	0.8060120447918411	0.8146330834082659	0.9010497044502499	0.7332991962421779
9	50	100	4	50	128	0	0.8623590861711625	0.8283263120888985	0.8284108058594326	0.9187660841370843	0.7577219821243608
11	50	100	4	50	128	0	0.8929081029904674	0.845827771308949	0.8428659755953712	0.9211412989170172	0.7438415964173668
4	50	100	4	50	128	0	0.6234001907840909	0.6680543848290165	0.6694860486562018	0.6668002715375241	0.67406232375601
11	50	100	4	50	128	0	0.8914096190069111	0.8133512631800426	0.8172970558571179	0.9056487051902424	0.7288307428281016
4	50	100	4	50	128	0	0.7808136604046165	0.7581759713418663	0.766194245882065	0.8420354953601915	0.6934480503121079
8	50	100	4	50	128	0	0.8330385588889004	0.7835477795028396	0.7883557600940415	0.8729707995755991	0.7156441903720829
time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
11	50	100	4	50	128	0.2	0.832967450202503	0.8095824281394753	0.8100111001062253	0.8879329536560895	0.7258945053632567
10	50	100	4	50	128	0.2	0.8750902551016685	0.8480107855759701	0.8492610168278248	0.9298828870834913	0.7488825639188967
9	50	100	4	50	128	0.2	0.8327210332216515	0.8192509967932246	0.8196096836412738	0.9016829567837394	0.725151545935303
10	50	100	4	50	128	0.2	0.8640054519734799	0.8263132594419156	0.831146044476371	0.9116029584104494	0.7404550431207872
7	50	100	4	50	128	0.2	0.8447881293863945	0.8321414683463649	0.8329490955949302	0.9161713300919797	0.7533585372718754
9	50	100	4	50	128	0.2	0.8040832152733123	0.801073184409086	0.7889823556254145	0.864975665356957	0.7250940666624907
9	50	100	4	50	128	0.2	0.8116512065704298	0.7942052924061636	0.7995227987935332	0.8748736639538632	0.7235032293469961
11	50	100	4	50	128	0.2	0.8766370501284911	0.8525068590996088	0.8526806709100135	0.9355635191992127	0.7626657305029027
14	50	100	4	50	128	0.2	0.8751768131296318	0.8376161523002449	0.8402058780005859	0.9257823261525019	0.7587076993643709
time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
27	50	100	4	50	128	0.4	0.854632890499364	0.8363275151809345	0.8292501802458108	0.9057171353440037	0.7520614588797094
28	50	100	4	50	128	0.4	0.8713337600751156	0.835923444241262	0.8350269484757891	0.9203459370051686	0.7403049240532893
35	50	100	4	50	128	0.4	0.9024653613537859	0.8414584512533223	0.845337664324529	0.9299512733679807	0.7512275769784273
29	50	100	4	50	128	0.4	0.8832921931422822	0.855068026132161	0.8517997650226895	0.9282022192797529	0.7694948953599279
16	50	100	4	50	128	0.4	0.8114144758131024	0.7981721684289695	0.807184756976541	0.886317581655238	0.7360795771932135
29	50	100	4	50	128	0.4	0.8687649811560345	0.8349224065352162	0.8389201749539716	0.9226986862227918	0.7481974139100203
28	50	100	4	50	128	0.4	0.8929178962292933	0.8459981426747359	0.8404510628889025	0.9211864677596375	0.7519553428855402
27	50	100	4	50	128	0.4	0.8622475547765678	0.8447039317140049	0.8462750690458272	0.9272186400057197	0.7549592722049162
27	50	100	4	50	128	0.4	0.8765122108247568	0.8356719600167812	0.8398046989152502	0.9201022434613455	0.7561367791478122
time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
16	50	100	4	50	128	0.4	0.8648094583237635	0.8282925062359198	0.8308686723486249	0.7399968216373777	0.909092455536008
11	50	100	4	50	128	0.4	0.8866722761153379	0.8420490630877053	0.846358032259729	0.7557542493905404	0.9297296884546205
13	50	100	4	50	128	0.4	0.8950330976123891	0.8463365482377649	0.8457227638658671	0.7469294819730604	0.9251320041574687
15	50	100	4	50	128	0.4	0.8992230197094567	0.8450890770653535	0.8547189825838218	0.764039225644256	0.9302386383718756
10	50	100	4	50	128	0.4	0.8829547763640072	0.8400692939831832	0.8444822228997979	0.7447118855654824	0.9286971498555703
13	50	100	4	50	128	0.4	0.8683360935743812	0.8368533896899167	0.8433621267339889	0.7608079797726323	0.9270467669862047
11	50	100	4	50	128	0.4	0.8484001986379888	0.8323390036325616	0.8389192450690922	0.7570156424806018	0.9114908913522746
12	50	100	4	50	128	0.4	0.860069499133394	0.8374412552022448	0.8379740769547123	0.7563080234054185	0.9196320048897518
13	50	100	4	50	128	0.4	0.8878469964139605	0.8498039581785881	0.8498542547237697	0.7457242192289374	0.933817487449147
time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
10	50	100	4	50	128	0.6	0.8147467099068793	0.8106312815528028	0.8094307629207225	0.7319594111541365	0.8873448119602964
11	50	100	4	50	128	0.6	0.8377217672350393	0.8127090220167552	0.8127048779091859	0.7352084259209103	0.8936792881353515
17	50	100	4	50	128	0.6	0.8797676217223712	0.8470644589144259	0.8464421281274648	0.7532904068668865	0.9288169738418054
10	50	100	4	50	128	0.6	0.7731076972137624	0.7740870119429638	0.7768129130362404	0.7154251165817402	0.841823125203676
time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
8	50	100	4	50	128	0.5	0.7551094229936471	0.7712960688471764	0.7773649071590927	0.7177469597006703	0.8233728778301931
